id,sheet,topic,subject,question,answer
BPP-1,BPP,Admin,,Appeals against HMRC decisions relating to direct taxes must first be made to whom?,"HMRC. If relating to indirect taxes, appeals are made to Tribunal."
BPP-2,BPP,Admin,,What does the First-tier Tribunal deal with?,Most cases
BPP-3,BPP,Admin,,What does the Upper Tribunal deal with?,Complex cases
BPP-4,BPP,VAT,,When is VAT registration compulsory?,"See tax tables.- At the end of any month taxable supplies over the previous 12 months have exceeded £90,000 (historical test); or- In the next 30 days, taxable supplies are expected to exceed £90,000 (future test)."
BPP-5,BPP,VAT,,When is VAT registration effective from?,"The first day of the second month after the £90,000 was exceeded, or from an earlier date if they and the trader agree (historical test).Start of 30-day period if future 30-day test applies."
BPP-6,BPP,VAT,,What is the time limit in respect of claiming pre-registration input tax on goods?,VAT must have been incurred in the four years before registration date (services = six months before registration date).
BPP-7,BPP,VAT,,When is the tax point?,"Earliest of:- When goods/service made available/completed (basic tax point)- Invoice issued date- Payment receivedIf invoice issued within 14 days after basic tax point, invoice date can become the tax point."
BPP-8,BPP,Penalties,,What happens when a business submits a quarterly VAT return late?,It incurs a penalty point.
BPP-9,BPP,Penalties,,What is the quarterly penalty threshold for late filing and what happens when it is reached?,"Four points and a £200 penalty is charged when this is reached. After this, late VAT returns also incur a £200 penalty."
BPP-10,BPP,Penalties,,When do penalty points expire?,"Normally after two years, but if threshold has been reached, a business has to submit four quarterly returns on time to reset points to zero."
BPP-11,BPP,Penalties,,What happens when VAT is paid late?,- A fixed late payment penalty is charged (see tax tables) of VAT due × penalty percentage- Daily penalty (if > 30 days late) of VAT due × 4% × (n − 30) / 365- Late payment interest is charged from the due date until the VAT is paid of rate × overdue VAT × n/12 (or n/365 – read the Q).Late payment interest percentage is the assumed rate of late payment interest on the tax tables.
BPP-12,BPP,Penalties,,What errors can be corrected on the next VAT return?,"- < £10,000 error- 1% × net VAT turnover for return period (max £50,000)Full disclosure is required to reduce possible penalty."
BPP-13,BPP,Penalties,,What is the common penalty regime?,"Applies for failure to notify chargeability to, or liability to register for income tax, national insurance contributions (NICs), CGT, corporation tax and VAT.Penalties are behaviour related, based on the “potential lost revenue” (PLR):- Up to 30% of PLR if non-deliberate failure to notify- Up to 70% of PLR if deliberate failure to notify, increased to 100% if also concealmentPenalties can be reduced if taxpayer makes disclosure."
BPP-14,BPP,Individuals,,Who needs to fill in a tax return?,"Self employed, company directors, individuals with complicated affairs."
BPP-15,BPP,Individuals,,When do individuals have to give notice of chargeability to HMRC?,"5 October, following the end of the tax year."
BPP-16,BPP,Individuals,,What are the filing dates for tax returns?,"Paper returns – 31 October, following the end of the tax yearElectronic returns – 31 January, following the end of the tax yearORThree months from HMRC issuing the notice to file a return (if later than 31 October)."
BPP-17,BPP,Individuals,,How and when are income tax and Class 4 NIC paid?,"Two payments on account:First POA – 31 January, during the current tax yearSecond POA – 31 July, after the tax yearBalancing payment – 31 January after the tax year, i.e. same as electronic filing date."
BPP-18,BPP,Individuals,,When is CGT paid?,"31 January, after the end of the tax year.But CGT on residential property – POA within 60 days of disposal."
BPP-19,BPP,Individuals,,What are the penalties for late returns?,"£100 automatic penaltyIf three–six months late, additional £10 per day (max 90 days)If 6–12 months late, greater of 5% of unpaid tax and £30012 months+, greater of percentage of unpaid tax (conduct based) and £300"
BPP-20,BPP,Individuals,,What is the interest amount for late payment of tax?,See tax tables.Rate × overdue tax × n/12
BPP-21,BPP,Individuals,,What is the penalty for late balancing payments?,"One–six months late, 5% of unpaid tax6–12 months late, 10% unpaid tax> 12 months late, 15% unpaid tax"
BPP-22,BPP,Individuals,,What are the penalties for errors?,Penalty is based upon the potentially lost revenue.(See tax tables.)
BPP-23,BPP,Individuals,,When must HMRC amend obvious errors?,Within nine months of the actual filing date.
BPP-24,BPP,Individuals,,When must the taxpayer make any amendments?,Within 12 months after the due filing date.
BPP-25,BPP,Individuals,,When can HMRC make a compliance check?,"Within 12 months of the return being actually submitted.If filed late, can go to next quarter (31 January, 30 April, 31 July, 31 October) + 12 months.Eg filed 14/2 – 30/4 + 12 months."
BPP-26,BPP,Individuals,,How long must taxpayers retain records and what is the maximum penalty for not doing so?,"Five years after the 31 January following the tax year where the taxpayer is in business (as a sole trader or partner or letting property).Note that this applies to all of the records, not only the business records; one year after the 31 January following the tax year otherwise.Maximum penalty £3,000 per tax year."
BPP-27,BPP,Individuals,,When is IHT on lifetime transfers due?,"If made between 6 April and 30 September, tax is due 30 April following the end of the tax year.Otherwise, six months from the end of the month of transfer."
BPP-28,BPP,Individuals,,When is IHT due on death tax on lifetime gifts?,Six months from the end of the month of the donor's death.
BPP-29,BPP,Individuals,,When is IHT death tax on estate due?,Six months from the end of the month of death or on the delivery of account if earlier.
BPP-30,BPP,Companies,,When must a company notify HMRC of its chargeability to corporation tax?,Within three months of the first accounting period.
BPP-31,BPP,Companies,,When is the filing date?,Later of:- 12 months after the end of the accounting period to which it relates- Three months from the date on which the notice requiring the return was made
BPP-32,BPP,Companies,,When must the company make any amendments?,Same as individuals.
BPP-33,BPP,Companies,,Companies must keep records until when?,Later of:- Six years from the end of the accounting period- The date any compliance check enquiries are completed- The date after which a compliance check enquiry may not be commenced
BPP-34,BPP,Companies,,When must HMRC give written notice of intention to conduct a compliance enquiry?,"- First anniversary of due filing date (most group companies) or actual filing date (other companies); or- The quarter day following the first anniversary of the actual filing date, if the return is filed after the due filing date (quarter days are 31 January, 30 April, 31 July, 31 October)."
BPP-35,BPP,Companies,,When is corporation tax due for companies that are not large?,Nine months and a day after the end of the accounting period.
BPP-36,BPP,Companies,,When is corporation tax due for large companies?,"Quarterly instalments in Months 7, 10, 13 and 16 following the start of the accounting period. For short APs first payment in Month 7 then every three months until final payment in fourth month after end of AP."
BPP-37,BPP,Companies,,What is the interest charged by HMRC on late paid tax?,(See tax tables for rate.)Rate × tax amount × n/12
BPP-38,BPP,Companies,,What are the penalties for late filing?,"- Up to three months late £100- Up to six months late £200- Up to 12 months late £200 + 10% of tax unpaid six months after the return was due- Over 12 months late £200 + 20% of tax unpaid six months after the return was due- If third consecutive late filing, £100 and £200 penalties are increased to £500 and £1,000"
BPP-39,BPP,Companies,,What is the penalty for failure to keep records?,"Up to £3,000"
BPP-40,BPP,Companies,,What are the penalties for making errors?,Same as individuals
LR-1-SET,Loss reliefs,Individuals,"Individuals – Trading loss – CB, CY","For Individuals, with a Trading loss where CB, CY relief is claimed, what can the loss be set against?",General income
LR-1-RULE,Loss reliefs,Individuals,"Individuals – Trading loss – CB, CY","For Individuals, with a Trading loss and CB, CY relief, what are the rules and time limits for the claim (including any order of set-off)?",Any order or combination
LR-2-SET,Loss reliefs,Individuals,"Individuals – Trading loss – CB, CY","For Individuals, with a Trading loss where CB, CY relief is claimed, what can the loss be set against?",General income
LR-2-RULE,Loss reliefs,Individuals,"Individuals – Trading loss – CB, CY","For Individuals, with a Trading loss and CB, CY relief, what are the rules and time limits for the claim (including any order of set-off)?",All or nothing
LR-3-SET,Loss reliefs,Individuals,"Individuals – Trading loss – CB, CY","For Individuals, with a Trading loss where CB, CY relief is claimed, what can the loss be set against?",General income
LR-3-RULE,Loss reliefs,Individuals,"Individuals – Trading loss – CB, CY","For Individuals, with a Trading loss and CB, CY relief, what are the rules and time limits for the claim (including any order of set-off)?","Set against NSI, SI, DI"
